index,value,hash,triple,validated_at,validated_hash
873,yjdafjpo873,147b97ee83e7aefd23d2e088892d5e21,8,1596,cc78fd0946df2d96de99ad488888ace9
1442,yjdafjpo1442,75f7f3c88801b621c5380e860cd467e6,8,1596,cc78fd0946df2d96de99ad488888ace9
1494,yjdafjpo1494,63d0f4b04288803d424142a693846045,8,1596,cc78fd0946df2d96de99ad488888ace9
2025,yjdafjpo2025,b3c1e7290dad776ddc9b8eae30efff4e,f,2389,1a8f4fffff9341e73a2d16f0c788b216
2065,yjdafjpo2065,a8ae6cb86cebe6f8d60a1b363c1dddf2,d,3002,f6589ebcd142aeb8fdf07311ddddd5a1
2275,yjdafjpo2275,eed6f58af32bddd7df381ae02d008fde,d,3002,f6589ebcd142aeb8fdf07311ddddd5a1
2408,yjdafjpo2408,0b16225478ddd48843125c15b438af8d,d,3002,f6589ebcd142aeb8fdf07311ddddd5a1
2489,yjdafjpo2489,05a4075dbc17a9741dd248e10416fddd,d,3002,f6589ebcd142aeb8fdf07311ddddd5a1
2966,yjdafjpo2966,5953f194045e56acbbb41fc44f49ec83,b,3619,114496b83f9bbbbbf1d289ede924e014
3126,yjdafjpo3126,dcf475eaf5ed1bbbac529b3fa3239749,b,3619,114496b83f9bbbbbf1d289ede924e014
3409,yjdafjpo3409,e474abbb4c6f15af27f37a422ae18762,b,3619,114496b83f9bbbbbf1d289ede924e014
12362,yjdafjpo12362,4c313f666f5a59eba5234e8da007f225,6,13064,454c242442c866666d90f34cd743f132
12513,yjdafjpo12513,34f83ec923833b71fe21aaad72cce6a0,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12529,yjdafjpo12529,de6bb047b404c7d9666672242459c40e,6,13064,454c242442c866666d90f34cd743f132
12620,yjdafjpo12620,901ec6bedaa0a78bde04016661a5c7a0,6,13064,454c242442c866666d90f34cd743f132
12625,yjdafjpo12625,1ba276c778aa652bbf40777d813ea8bf,7,13539,c9b210c780927777793085ba27f47e96
12638,yjdafjpo12638,014794de4faaac366a5c76c9ee32f780,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12662,yjdafjpo12662,953b0c129f6fe3b21807702bee87775b,7,13539,c9b210c780927777793085ba27f47e96
12679,yjdafjpo12679,cc312aaa262adb67e8b0e100f934be62,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12742,yjdafjpo12742,4e6740e8d549799cbfe274321e41aaae,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12793,yjdafjpo12793,87acfee93f877835e2ebe1aaae53bbd5,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12888,yjdafjpo12888,80042ec0f40e0a611d5aaa2fe6ed1e4e,a,13474,42bf9aaaaa6726914baeda5f8071d94d
12894,yjdafjpo12894,cc3c4aff831740fe5fb7c666d5a57e9b,6,13064,454c242442c866666d90f34cd743f132
12947,yjdafjpo12947,f0aa666de7122c21c804d5ec5c52bb53,6,13064,454c242442c866666d90f34cd743f132
13012,yjdafjpo13012,f7dfd666d5f01617facf11068d9bb8e8,6,13064,454c242442c866666d90f34cd743f132
13032,yjdafjpo13032,f6638be7771ddb1f98d83ecac83c6627,7,13539,c9b210c780927777793085ba27f47e96
13136,yjdafjpo13136,8bd67771935cd395e9afd626c769b0ba,7,13539,c9b210c780927777793085ba27f47e96
13138,yjdafjpo13138,136f54308777963401314d89de59b960,7,13539,c9b210c780927777793085ba27f47e96
13145,yjdafjpo13145,c5aee978bb626c35777bc3cbc20448b2,7,13539,c9b210c780927777793085ba27f47e96
13155,yjdafjpo13155,cc42acdb61db4956d12be8ece3777dcf,7,13539,c9b210c780927777793085ba27f47e96
13222,yjdafjpo13222,38bfd91f5e61caaa16420c75267da08c,a,13474,42bf9aaaaa6726914baeda5f8071d94d
13238,yjdafjpo13238,b09cbfc636baff277be00baaa2d7011e,a,13474,42bf9aaaaa6726914baeda5f8071d94d
13370,yjdafjpo13370,a0362d3b509c19fcbd10e4faaa8d9f82,a,13474,42bf9aaaaa6726914baeda5f8071d94d
