index,value,hash,triple,validated_at,validated_hash
10,abc10,4a81e578d9f43511ab693eee1a75f194,e,89,eaa5c17bec47565b98275b404eeeeea6
25,abc25,820c37e4d1eee5bb88ee3c5ff5cb702b,e,89,eaa5c17bec47565b98275b404eeeeea6
1471,abc1471,6289d4f7290ced8167dcd2c2c555b683,5,2359,4fed3fd7229e0375139e313f555554d5
1596,abc1596,64939f3ed716055553d763ff5c93987c,5,2359,4fed3fd7229e0375139e313f555554d5
1610,abc1610,e9e3ead514e3e429d3a9d555ed5c550d,5,2359,4fed3fd7229e0375139e313f555554d5
1715,abc1715,2518114d108d3b3f04cedecfa47555f4,5,2359,4fed3fd7229e0375139e313f555554d5
1778,abc1778,45557cf33e0f0cb65398e8b8f3d6d627,5,2359,4fed3fd7229e0375139e313f555554d5
1951,abc1951,2542fd1fa8cf29cac7244d6555cdfc5f,5,2359,4fed3fd7229e0375139e313f555554d5
1994,abc1994,58488e6a50b9ad281f5519063446555f,5,2359,4fed3fd7229e0375139e313f555554d5
2023,abc2023,b7da7c35555808dace36f70a9f51e0d7,5,2359,4fed3fd7229e0375139e313f555554d5
2288,abc2288,71aa39c0555c4752c7d268fb94ad52e4,5,2359,4fed3fd7229e0375139e313f555554d5
4249,abc4249,6551f92888e08fc70ccaa77ace34b30e,8,5057,c763e3dc681483e4888882d4e01a67b6
4340,abc4340,8093312888dbb47218be3cfb841e434c,8,5057,c763e3dc681483e4888882d4e01a67b6
4352,abc4352,8888c046d466aeae42e4d019975ad9a8,8,5057,c763e3dc681483e4888882d4e01a67b6
4533,abc4533,c8d138f21926803b981adc8458888669,8,5057,c763e3dc681483e4888882d4e01a67b6
4829,abc4829,81100288842f9216345b1e52ed79e3d8,8,5057,c763e3dc681483e4888882d4e01a67b6
4878,abc4878,4fbdd7e88827ea0e20fcb87bf8a306a8,8,5057,c763e3dc681483e4888882d4e01a67b6
5014,abc5014,4fde6888f112e31cd4fb497cfe623a6e,8,5057,c763e3dc681483e4888882d4e01a67b6
5226,abc5226,222bfc34bc1cff7ba607759f4e0b173f,2,6115,a52222258913ae7224fe217fc333cb40
5803,abc5803,11022216d71dbcb33700c7c1f206844d,2,6115,a52222258913ae7224fe217fc333cb40
6878,abc6878,817962a35d167111f70b3294d57784b9,1,7859,5911d278942461111175d67ea80b619e
7087,abc7087,94b1649acb0111bdc4c165d8e6ddfcd1,1,7859,5911d278942461111175d67ea80b619e
7120,abc7120,c7c00fdd15a03111d7c9469455b3a6b7,1,7859,5911d278942461111175d67ea80b619e
7137,abc7137,c11149bea1b570e0719f18d8573c343a,1,7859,5911d278942461111175d67ea80b619e
7182,abc7182,6d358b51113a97fcacf6d9bfe21127e0,1,7859,5911d278942461111175d67ea80b619e
7229,abc7229,5193df6da97e9b704d949a111c0f03cd,1,7859,5911d278942461111175d67ea80b619e
7280,abc7280,3280960511115153889b504329958f6c,1,7859,5911d278942461111175d67ea80b619e
7317,abc7317,d929e2162a631118017a96399123ee80,1,7859,5911d278942461111175d67ea80b619e
7460,abc7460,cd2641116c72e6bfc159e1684677dd2c,1,7859,5911d278942461111175d67ea80b619e
7841,abc7841,0082dac77b407bf3f8c08111c6bbabbf,1,7859,5911d278942461111175d67ea80b619e
8058,abc8058,1d15fb855ec6d39176665ad514280524,6,8948,00d272f8666666e368c964eed8a5f18c
8277,abc8277,cf33566686cda2ce7512d9f3029c1eb1,6,8948,00d272f8666666e368c964eed8a5f18c
8472,abc8472,666296fefc66efa8d0fd7da07facdfd0,6,8948,00d272f8666666e368c964eed8a5f18c
8473,abc8473,5066407cd811c345566682763cb77eeb,6,8948,00d272f8666666e368c964eed8a5f18c
8487,abc8487,6854b36662d6a7d0cd26a6fae67a44a8,6,8948,00d272f8666666e368c964eed8a5f18c
8550,abc8550,3c2049afa55bd105fea3a6665202714f,6,8948,00d272f8666666e368c964eed8a5f18c
8574,abc8574,6667a14cf62acefe548bdabe9d225c88,6,8948,00d272f8666666e368c964eed8a5f18c
17372,abc17372,606d863cccd166712df9042e763c63eb,c,18355,3cccccf58c3a6a3ced39155cda9253bf
17438,abc17438,9bae8651b79dccca68cde3ce61db085b,c,18355,3cccccf58c3a6a3ced39155cda9253bf
17506,abc17506,ccc94ee9c26b54acf62001fc9afea402,c,18355,3cccccf58c3a6a3ced39155cda9253bf
17737,abc17737,21ed8ccc08cd444dfe408910c4a259b5,c,18355,3cccccf58c3a6a3ced39155cda9253bf
17768,abc17768,12ec5c1ccc1d1d0e75fe20387ae9fbc3,c,18355,3cccccf58c3a6a3ced39155cda9253bf
18105,abc18105,958d4f237fccc31244fd7de6873f6b06,c,18355,3cccccf58c3a6a3ced39155cda9253bf
18175,abc18175,2b830df74310065dcccc96de4f292d55,c,18355,3cccccf58c3a6a3ced39155cda9253bf
18210,abc18210,1582290ccce23b062b49cf3c04e041fd,c,18355,3cccccf58c3a6a3ced39155cda9253bf
18302,abc18302,b3405a15ac7a812634c5053f8b9a3ccc,c,18355,3cccccf58c3a6a3ced39155cda9253bf
19212,abc19212,d0a40cd876e7c8223c55507ab0ab6d73,5,20015,52ff1eae704f55555dec14f8e5040b73
19236,abc19236,71ee27eede6355513dac7785d0de4de7,5,20015,52ff1eae704f55555dec14f8e5040b73
19270,abc19270,ab3ac53ca55593609ba138efb4ea6346,5,20015,52ff1eae704f55555dec14f8e5040b73
19334,abc19334,d26af0f588f902182555c3b1a7578472,5,20015,52ff1eae704f55555dec14f8e5040b73
19346,abc19346,272dca3fc5d0c059808ea55592a4adcd,5,20015,52ff1eae704f55555dec14f8e5040b73
19366,abc19366,37d877d32bdbc3580db5afcfa7666339,6,20330,39ed4edb214e59811d03ce3666669533
19369,abc19369,f1b555c4e43773758a84176bc78d8a63,5,20015,52ff1eae704f55555dec14f8e5040b73
19471,abc19471,a3a52907cacf6e41a315f20b46555422,5,20015,52ff1eae704f55555dec14f8e5040b73
19498,abc19498,b6c4ffe1dac975558234705709a0854d,5,20015,52ff1eae704f55555dec14f8e5040b73
19799,abc19799,d626ebe07e35bdd64658de522845666d,6,20330,39ed4edb214e59811d03ce3666669533
19880,abc19880,055578105213a1cd3de06696d308d0a6,5,20015,52ff1eae704f55555dec14f8e5040b73
19915,abc19915,109096f32bc54743c76666499f47cf8b,6,20330,39ed4edb214e59811d03ce3666669533
19947,abc19947,f90405a11032ec10f1f62b666b68365b,6,20330,39ed4edb214e59811d03ce3666669533
19950,abc19950,54c6665cd0f258a2ea8e27cec15685e2,6,20330,39ed4edb214e59811d03ce3666669533
20212,abc20212,4433056aabcfb040e819ca66650c9669,6,20330,39ed4edb214e59811d03ce3666669533
22097,abc22097,07b076affcb182df3fe86ba5fff65bff,f,22859,2e559978fffff9ac9c9012eb764c6391
22122,abc22122,a5fff1f24a5db986274fe724dc3d9102,f,22859,2e559978fffff9ac9c9012eb764c6391
22551,abc22551,2df6e9378c3c53abed6d3508b6285fff,f,22859,2e559978fffff9ac9c9012eb764c6391
